Chapter,Adjective,Narrator
1,perplexed,Victor Frankenstein
1,unable,Victor Frankenstein
1,full,Victor Frankenstein
1,necessary,Victor Frankenstein
1,latter,Victor Frankenstein
1,peaceful,Victor Frankenstein
1,miserable,Victor Frankenstein
1,own,Victor Frankenstein
1,joint,Victor Frankenstein
1,content,Victor Frankenstein
1,malicious,Victor Frankenstein
1,miserable,Victor Frankenstein
1,more,Victor Frankenstein
1,own,Victor Frankenstein
1,human,Victor Frankenstein
1,insurmountable,Victor Frankenstein
1,abject,Victor Frankenstein
1,arch-,Victor Frankenstein
1,inextinguishable,Victor Frankenstein
1,fiendish,Victor Frankenstein
1,horrible,Victor Frankenstein
1,human,Victor Frankenstein
1,detrimental,Victor Frankenstein
1,whole,Victor Frankenstein
1,reasonable,Victor Frankenstein
1,moderate,Victor Frankenstein
1,hideous,Victor Frankenstein
1,small,Victor Frankenstein
1,true,Victor Frankenstein
1,happy,Victor Frankenstein
1,harmless,Victor Frankenstein
1,free,Victor Frankenstein
1,happy,Victor Frankenstein
1,possible,Victor Frankenstein
1,fine,Victor Frankenstein
1,other,Victor Frankenstein
1,human,Victor Frankenstein
1,vast,Victor Frankenstein
1,sufficient,Victor Frankenstein
1,same,Victor Frankenstein
1,content,Victor Frankenstein
1,same,Victor Frankenstein
1,peaceful,Victor Frankenstein
1,human,Victor Frankenstein
1,favourable,Victor Frankenstein
1,only,Victor Frankenstein
1,evil,Victor Frankenstein
1,inconstant,Victor Frankenstein
1,evil,Victor Frankenstein
1,strange,Victor Frankenstein
1,filthy,Victor Frankenstein
1,small,Victor Frankenstein
1,harmless,Victor Frankenstein
1,wider,Victor Frankenstein
1,ignorant,Victor Frankenstein
1,equal,Victor Frankenstein
1,sensitive,Victor Frankenstein
1,various,Victor Frankenstein
1,subsequent,Victor Frankenstein
1,inaccessible,Victor Frankenstein
1,vain,Victor Frankenstein
1,long,Victor Frankenstein
1,due,Victor Frankenstein
1,solemn,Victor Frankenstein
1,other,Victor Frankenstein
1,blue,Victor Frankenstein
1,unutterable,Victor Frankenstein
1,ready,Victor Frankenstein
1,fearful,Victor Frankenstein
1,greater,Victor Frankenstein
1,whole,Victor Frankenstein
1,heavy,Victor Frankenstein
1,little,Victor Frankenstein
1,advanced,Victor Frankenstein
1,dark,Victor Frankenstein
1,broken,Victor Frankenstein
1,wonderful,Victor Frankenstein
1,strange,Victor Frankenstein
1,about,Victor Frankenstein
1,wild,Victor Frankenstein
1,miserable,Victor Frankenstein
1,eternal,Victor Frankenstein
1,dull,Victor Frankenstein
1,ugly,Victor Frankenstein
1,own,Victor Frankenstein
1,wild,Victor Frankenstein
1,intense,Victor Frankenstein
1,more,Victor Frankenstein
1,most,Victor Frankenstein
1,other,Victor Frankenstein
