Chapter,Adjective,Narrator
1,distinguished,Victor Frankenstein
1,many,Victor Frankenstein
1,several,Victor Frankenstein
1,public,Victor Frankenstein
1,indefatigable,Victor Frankenstein
1,public,Victor Frankenstein
1,younger,Victor Frankenstein
1,intimate,Victor Frankenstein
1,flourishing,Victor Frankenstein
1,numerous,Victor Frankenstein
1,proud,Victor Frankenstein
1,unbending,Victor Frankenstein
1,same,Victor Frankenstein
1,honourable,Victor Frankenstein
1,unknown,Victor Frankenstein
1,truest,Victor Frankenstein
1,unfortunate,Victor Frankenstein
1,false,Victor Frankenstein
1,little,Victor Frankenstein
1,worthy,Victor Frankenstein
1,effectual,Victor Frankenstein
1,mean,Victor Frankenstein
1,small,Victor Frankenstein
1,sufficient,Victor Frankenstein
1,respectable,Victor Frankenstein
1,deep,Victor Frankenstein
1,fast,Victor Frankenstein
1,incapable,Victor Frankenstein
1,greatest,Victor Frankenstein
1,little,Victor Frankenstein
1,other,Victor Frankenstein
1,uncommon,Victor Frankenstein
1,plain,Victor Frankenstein
1,various,Victor Frankenstein
1,sufficient,Victor Frankenstein
1,several,Victor Frankenstein
1,worse,Victor Frankenstein
1,tenth,Victor Frankenstein
1,last,Victor Frankenstein
1,poor,Victor Frankenstein
1,considerable,Victor Frankenstein
1,devoted,Victor Frankenstein
1,upright,Victor Frankenstein
1,necessary,Victor Frankenstein
1,former,Victor Frankenstein
1,greater,Victor Frankenstein
1,worth,Victor Frankenstein
1,inexpressible,Victor Frankenstein
1,fair,Victor Frankenstein
1,pleasurable,Victor Frankenstein
1,soft,Victor Frankenstein
1,benevolent,Victor Frankenstein
1,constant,Victor Frankenstein
1,previous,Victor Frankenstein
1,public,Victor Frankenstein
1,pleasant,Victor Frankenstein
1,restorative,Victor Frankenstein
1,eldest,Victor Frankenstein
1,several,Victor Frankenstein
1,only,Victor Frankenstein
1,other,Victor Frankenstein
1,inexhaustible,Victor Frankenstein
1,benevolent,Victor Frankenstein
1,first,Victor Frankenstein
1,better,Victor Frankenstein
1,innocent,Victor Frankenstein
1,helpless,Victor Frankenstein
1,future,Victor Frankenstein
1,deep,Victor Frankenstein
1,active,Victor Frankenstein
1,silken,Victor Frankenstein
1,long,Victor Frankenstein
1,only,Victor Frankenstein
1,single,Victor Frankenstein
1,old,Victor Frankenstein
1,benevolent,Victor Frankenstein
1,poor,Victor Frankenstein
1,more,Victor Frankenstein
1,guardian,Victor Frankenstein
1,poor,Victor Frankenstein
1,disconsolate,Victor Frankenstein
1,worst,Victor Frankenstein
1,hungry,Victor Frankenstein
1,different,Victor Frankenstein
1,dark,Victor Frankenstein
1,eyed,Victor Frankenstein
1,hardy,Victor Frankenstein
1,little,Victor Frankenstein
1,thin,Victor Frankenstein
1,fair,Victor Frankenstein
1,brightest,Victor Frankenstein
1,clear,Victor Frankenstein
1,ample,Victor Frankenstein
1,blue,Victor Frankenstein
1,expressive,Victor Frankenstein
1,distinct,Victor Frankenstein
1,celestial,Victor Frankenstein
1,peasant,Victor Frankenstein
1,lovely,Victor Frankenstein
1,milanese,Victor Frankenstein
1,german,Victor Frankenstein
1,good,Victor Frankenstein
1,better,Victor Frankenstein
1,eldest,Victor Frankenstein
1,antique,Victor Frankenstein
1,foster,Victor Frankenstein
1,rude,Victor Frankenstein
1,fairer,Victor Frankenstein
1,fairer,Victor Frankenstein
1,lighter,Victor Frankenstein
1,rustic,Victor Frankenstein
1,fond,Victor Frankenstein
1,sweet,Victor Frankenstein
1,unfair,Victor Frankenstein
1,such,Victor Frankenstein
1,powerful,Victor Frankenstein
1,more,Victor Frankenstein
1,beautiful,Victor Frankenstein
1,passionate,Victor Frankenstein
1,reverential,Victor Frankenstein
1,previous,Victor Frankenstein
1,present,Victor Frankenstein
1,childish,Victor Frankenstein
1,own,Victor Frankenstein
1,other,Victor Frankenstein
1,more,Victor Frankenstein
2,calmer,Victor Frankenstein
2,concentrated,Victor Frankenstein
2,capable,Victor Frankenstein
2,intense,Victor Frankenstein
2,smitten,Victor Frankenstein
2,aerial,Victor Frankenstein
2,majestic,Victor Frankenstein
2,wondrous,Victor Frankenstein
2,swiss,Victor Frankenstein
2,sublime,Victor Frankenstein
2,calm,Victor Frankenstein
2,ample,Victor Frankenstein
2,serious,Victor Frankenstein
2,satisfied,Victor Frankenstein
2,magnificent,Victor Frankenstein
2,earnest,Victor Frankenstein
2,hidden,Victor Frankenstein
2,akin,Victor Frankenstein
2,earliest,Victor Frankenstein
2,second,Victor Frankenstein
2,wandering,Victor Frankenstein
2,native,Victor Frankenstein
2,eastern,Victor Frankenstein
2,more,Victor Frankenstein
2,latter,Victor Frankenstein
2,considerable,Victor Frankenstein
2,few,Victor Frankenstein
2,indifferent,Victor Frankenstein
2,general,Victor Frankenstein
2,closest,Victor Frankenstein
2,singular,Victor Frankenstein
2,own,Victor Frankenstein
2,heroic,Victor Frankenstein
2,many,Victor Frankenstein
2,chivalrous,Victor Frankenstein
2,human,Victor Frankenstein
2,happier,Victor Frankenstein
2,very,Victor Frankenstein
2,many,Victor Frankenstein
2,other,Victor Frankenstein
2,fortunate,Victor Frankenstein
2,filial,Victor Frankenstein
2,violent,Victor Frankenstein
2,vehement,Victor Frankenstein
2,childish,Victor Frankenstein
2,eager,Victor Frankenstein
2,various,Victor Frankenstein
2,outward,Victor Frankenstein
2,inner,Victor Frankenstein
2,mysterious,Victor Frankenstein
2,highest,Victor Frankenstein
2,physical,Victor Frankenstein
2,moral,Victor Frankenstein
2,busy,Victor Frankenstein
2,gallant,Victor Frankenstein
2,adventurous,Victor Frankenstein
2,saintly,Victor Frankenstein
2,peaceful,Victor Frankenstein
2,soft,Victor Frankenstein
2,sweet,Victor Frankenstein
2,celestial,Victor Frankenstein
2,sullen,Victor Frankenstein
2,rough,Victor Frankenstein
2,own,Victor Frankenstein
2,ill,Victor Frankenstein
2,noble,Victor Frankenstein
2,humane,Victor Frankenstein
2,thoughtful,Victor Frankenstein
2,full,Victor Frankenstein
2,adventurous,Victor Frankenstein
2,real,Victor Frankenstein
2,exquisite,Victor Frankenstein
2,bright,Victor Frankenstein
2,extensive,Victor Frankenstein
2,gloomy,Victor Frankenstein
2,narrow,Victor Frankenstein
2,early,Victor Frankenstein
2,insensible,Victor Frankenstein
2,ignoble,Victor Frankenstein
2,natural,Victor Frankenstein
2,apathy,Victor Frankenstein
2,wonderful,Victor Frankenstein
2,new,Victor Frankenstein
2,dear,Victor Frankenstein
2,sad,Victor Frankenstein
2,modern,Victor Frankenstein
2,greater,Victor Frankenstein
2,ancient,Victor Frankenstein
2,latter,Victor Frankenstein
2,chimerical,Victor Frankenstein
2,former,Victor Frankenstein
2,real,Victor Frankenstein
2,practical,Victor Frankenstein
2,such,Victor Frankenstein
2,greater,Victor Frankenstein
2,former,Victor Frankenstein
2,possible,Victor Frankenstein
2,fatal,Victor Frankenstein
2,greatest,Victor Frankenstein
2,first,Victor Frankenstein
2,whole,Victor Frankenstein
2,wild,Victor Frankenstein
2,few,Victor Frankenstein
2,intense,Victor Frankenstein
2,wonderful,Victor Frankenstein
2,modern,Victor Frankenstein
2,unsatisfied,Victor Frankenstein
2,great,Victor Frankenstein
2,unexplored,Victor Frankenstein
2,natural,Victor Frankenstein
2,same,Victor Frankenstein
2,untaught,Victor Frankenstein
2,practical,Victor Frankenstein
2,learned,Victor Frankenstein
2,more,Victor Frankenstein
2,immortal,Victor Frankenstein
2,final,Victor Frankenstein
2,secondary,Victor Frankenstein
2,tertiary,Victor Frankenstein
2,unknown,Victor Frankenstein
2,human,Victor Frankenstein
2,more,Victor Frankenstein
2,strange,Victor Frankenstein
2,such,Victor Frankenstein
2,eighteenth,Victor Frankenstein
2,great,Victor Frankenstein
2,favourite,Victor Frankenstein
2,scientific,Victor Frankenstein
2,new,Victor Frankenstein
2,greatest,Victor Frankenstein
2,latter,Victor Frankenstein
2,undivided,Victor Frankenstein
2,inferior,Victor Frankenstein
2,human,Victor Frankenstein
2,invulnerable,Victor Frankenstein
2,violent,Victor Frankenstein
2,only,Victor Frankenstein
2,favourite,Victor Frankenstein
2,unsuccessful,Victor Frankenstein
2,own,Victor Frankenstein
2,exploded,Victor Frankenstein
2,contradictory,Victor Frankenstein
2,slough,Victor Frankenstein
2,multifarious,Victor Frankenstein
2,ardent,Victor Frankenstein
2,childish,Victor Frankenstein
2,old,Victor Frankenstein
2,violent,Victor Frankenstein
2,terrible,Victor Frankenstein
2,frightful,Victor Frankenstein
2,various,Victor Frankenstein
2,sudden,Victor Frankenstein
2,old,Victor Frankenstein
2,beautiful,Victor Frankenstein
2,dazzling,Victor Frankenstein
2,next,Victor Frankenstein
2,singular,Victor Frankenstein
2,thin,Victor Frankenstein
2,unacquainted,Victor Frankenstein
2,obvious,Victor Frankenstein
2,great,Victor Frankenstein
2,natural,Victor Frankenstein
2,new,Victor Frankenstein
2,astonishing,Victor Frankenstein
2,accustomed,Victor Frankenstein
2,despicable,Victor Frankenstein
2,subject,Victor Frankenstein
2,early,Victor Frankenstein
2,former,Victor Frankenstein
2,natural,Victor Frankenstein
