Chapter,Adjective,Narrator,Polarity,Subjectivity,Sentiment
1,distinguished,Victor Frankenstein,0.0,0.0,Neutral
1,distinguished,Victor Frankenstein,0.0,0.0,Neutral
1,distinguished,Victor Frankenstein,0.0,0.0,Neutral
1,many,Victor Frankenstein,0.5,0.5,Positive
1,many,Victor Frankenstein,0.5,0.5,Positive
1,many,Victor Frankenstein,0.5,0.5,Positive
1,many,Victor Frankenstein,0.5,0.5,Positive
1,many,Victor Frankenstein,0.5,0.5,Positive
1,many,Victor Frankenstein,0.5,0.5,Positive
1,many,Victor Frankenstein,0.5,0.5,Positive
1,many,Victor Frankenstein,0.5,0.5,Positive
1,many,Victor Frankenstein,0.5,0.5,Positive
1,many,Victor Frankenstein,0.5,0.5,Positive
1,many,Victor Frankenstein,0.5,0.5,Positive
1,many,Victor Frankenstein,0.5,0.5,Positive
1,many,Victor Frankenstein,0.5,0.5,Positive
1,many,Victor Frankenstein,0.5,0.5,Positive
1,many,Victor Frankenstein,0.5,0.5,Positive
1,many,Victor Frankenstein,0.5,0.5,Positive
1,many,Victor Frankenstein,0.5,0.5,Positive
1,many,Victor Frankenstein,0.5,0.5,Positive
1,many,Victor Frankenstein,0.5,0.5,Positive
1,many,Victor Frankenstein,0.5,0.5,Positive
1,many,Victor Frankenstein,0.5,0.5,Positive
1,many,Victor Frankenstein,0.5,0.5,Positive
1,many,Victor Frankenstein,0.5,0.5,Positive
1,many,Victor Frankenstein,0.5,0.5,Positive
1,many,Victor Frankenstein,0.5,0.5,Positive
1,many,Victor Frankenstein,0.5,0.5,Positive
1,many,Victor Frankenstein,0.5,0.5,Positive
1,many,Victor Frankenstein,0.5,0.5,Positive
1,many,Victor Frankenstein,0.5,0.5,Positive
1,many,Victor Frankenstein,0.5,0.5,Positive
1,many,Victor Frankenstein,0.5,0.5,Positive
1,many,Victor Frankenstein,0.5,0.5,Positive
1,many,Victor Frankenstein,0.5,0.5,Positive
1,many,Victor Frankenstein,0.5,0.5,Positive
1,many,Victor Frankenstein,0.5,0.5,Positive
1,many,Victor Frankenstein,0.5,0.5,Positive
1,many,Victor Frankenstein,0.5,0.5,Positive
1,many,Victor Frankenstein,0.5,0.5,Positive
1,many,Victor Frankenstein,0.5,0.5,Positive
1,many,Victor Frankenstein,0.5,0.5,Positive
1,many,Victor Frankenstein,0.5,0.5,Positive
1,many,Victor Frankenstein,0.5,0.5,Positive
1,many,Victor Frankenstein,0.5,0.5,Positive
1,many,Victor Frankenstein,0.5,0.5,Positive
1,many,Victor Frankenstein,0.5,0.5,Positive
1,many,Victor Frankenstein,0.5,0.5,Positive
1,many,Victor Frankenstein,0.5,0.5,Positive
1,many,Victor Frankenstein,0.5,0.5,Positive
1,many,Victor Frankenstein,0.5,0.5,Positive
1,many,Victor Frankenstein,0.5,0.5,Positive
1,many,Victor Frankenstein,0.5,0.5,Positive
1,many,Victor Frankenstein,0.5,0.5,Positive
1,many,Victor Frankenstein,0.5,0.5,Positive
1,many,Victor Frankenstein,0.5,0.5,Positive
1,many,Victor Frankenstein,0.5,0.5,Positive
1,many,Victor Frankenstein,0.5,0.5,Positive
1,several,Victor Frankenstein,0.0,0.0,Neutral
1,several,Victor Frankenstein,0.0,0.0,Neutral
1,several,Victor Frankenstein,0.0,0.0,Neutral
1,several,Victor Frankenstein,0.0,0.0,Neutral
1,several,Victor Frankenstein,0.0,0.0,Neutral
1,several,Victor Frankenstein,0.0,0.0,Neutral
1,several,Victor Frankenstein,0.0,0.0,Neutral
1,several,Victor Frankenstein,0.0,0.0,Neutral
1,several,Victor Frankenstein,0.0,0.0,Neutral
1,several,Victor Frankenstein,0.0,0.0,Neutral
1,several,Victor Frankenstein,0.0,0.0,Neutral
1,several,Victor Frankenstein,0.0,0.0,Neutral
1,several,Victor Frankenstein,0.0,0.0,Neutral
1,several,Victor Frankenstein,0.0,0.0,Neutral
1,several,Victor Frankenstein,0.0,0.0,Neutral
1,several,Victor Frankenstein,0.0,0.0,Neutral
1,several,Victor Frankenstein,0.0,0.0,Neutral
1,several,Victor Frankenstein,0.0,0.0,Neutral
1,several,Victor Frankenstein,0.0,0.0,Neutral
1,several,Victor Frankenstein,0.0,0.0,Neutral
1,several,Victor Frankenstein,0.0,0.0,Neutral
1,several,Victor Frankenstein,0.0,0.0,Neutral
1,several,Victor Frankenstein,0.0,0.0,Neutral
1,several,Victor Frankenstein,0.0,0.0,Neutral
1,several,Victor Frankenstein,0.0,0.0,Neutral
1,several,Victor Frankenstein,0.0,0.0,Neutral
1,several,Victor Frankenstein,0.0,0.0,Neutral
1,several,Victor Frankenstein,0.0,0.0,Neutral
1,several,Victor Frankenstein,0.0,0.0,Neutral
1,several,Victor Frankenstein,0.0,0.0,Neutral
1,several,Victor Frankenstein,0.0,0.0,Neutral
1,several,Victor Frankenstein,0.0,0.0,Neutral
1,several,Victor Frankenstein,0.0,0.0,Neutral
1,several,Victor Frankenstein,0.0,0.0,Neutral
1,several,Victor Frankenstein,0.0,0.0,Neutral
1,several,Victor Frankenstein,0.0,0.0,Neutral
1,several,Victor Frankenstein,0.0,0.0,Neutral
1,several,Victor Frankenstein,0.0,0.0,Neutral
1,several,Victor Frankenstein,0.0,0.0,Neutral
1,several,Victor Frankenstein,0.0,0.0,Neutral
1,several,Victor Frankenstein,0.0,0.0,Neutral
1,several,Victor Frankenstein,0.0,0.0,Neutral
1,several,Victor Frankenstein,0.0,0.0,Neutral
1,several,Victor Frankenstein,0.0,0.0,Neutral
1,several,Victor Frankenstein,0.0,0.0,Neutral
1,several,Victor Frankenstein,0.0,0.0,Neutral
1,several,Victor Frankenstein,0.0,0.0,Neutral
1,several,Victor Frankenstein,0.0,0.0,Neutral
1,several,Victor Frankenstein,0.0,0.0,Neutral
1,public,Victor Frankenstein,0.0,0.06666666666666667,Neutral
1,public,Victor Frankenstein,0.0,0.06666666666666667,Neutral
1,public,Victor Frankenstein,0.0,0.06666666666666667,Neutral
1,public,Victor Frankenstein,0.0,0.06666666666666667,Neutral
1,public,Victor Frankenstein,0.0,0.06666666666666667,Neutral
1,indefatigable,Victor Frankenstein,0.0,0.0,Neutral
1,indefatigable,Victor Frankenstein,0.0,0.0,Neutral
1,indefatigable,Victor Frankenstein,0.0,0.0,Neutral
1,public,Victor Frankenstein,0.0,0.06666666666666667,Neutral
1,public,Victor Frankenstein,0.0,0.06666666666666667,Neutral
1,public,Victor Frankenstein,0.0,0.06666666666666667,Neutral
1,public,Victor Frankenstein,0.0,0.06666666666666667,Neutral
1,public,Victor Frankenstein,0.0,0.06666666666666667,Neutral
1,younger,Victor Frankenstein,0.0,0.0,Neutral
1,younger,Victor Frankenstein,0.0,0.0,Neutral
1,younger,Victor Frankenstein,0.0,0.0,Neutral
1,younger,Victor Frankenstein,0.0,0.0,Neutral
1,younger,Victor Frankenstein,0.0,0.0,Neutral
1,younger,Victor Frankenstein,0.0,0.0,Neutral
1,younger,Victor Frankenstein,0.0,0.0,Neutral
1,younger,Victor Frankenstein,0.0,0.0,Neutral
1,intimate,Victor Frankenstein,0.2,0.6,Positive
1,intimate,Victor Frankenstein,0.2,0.6,Positive
1,flourishing,Victor Frankenstein,0.0,0.0,Neutral
1,numerous,Victor Frankenstein,0.0,0.5,Neutral
1,numerous,Victor Frankenstein,0.0,0.5,Neutral
1,numerous,Victor Frankenstein,0.0,0.5,Neutral
1,proud,Victor Frankenstein,0.8,1.0,Positive
1,unbending,Victor Frankenstein,0.0,0.0,Neutral
1,same,Victor Frankenstein,0.0,0.125,Neutral
1,same,Victor Frankenstein,0.0,0.125,Neutral
1,same,Victor Frankenstein,0.0,0.125,Neutral
1,same,Victor Frankenstein,0.0,0.125,Neutral
1,same,Victor Frankenstein,0.0,0.125,Neutral
1,same,Victor Frankenstein,0.0,0.125,Neutral
1,same,Victor Frankenstein,0.0,0.125,Neutral
1,same,Victor Frankenstein,0.0,0.125,Neutral
1,same,Victor Frankenstein,0.0,0.125,Neutral
1,same,Victor Frankenstein,0.0,0.125,Neutral
1,same,Victor Frankenstein,0.0,0.125,Neutral
1,same,Victor Frankenstein,0.0,0.125,Neutral
1,same,Victor Frankenstein,0.0,0.125,Neutral
1,same,Victor Frankenstein,0.0,0.125,Neutral
1,same,Victor Frankenstein,0.0,0.125,Neutral
1,same,Victor Frankenstein,0.0,0.125,Neutral
1,same,Victor Frankenstein,0.0,0.125,Neutral
1,same,Victor Frankenstein,0.0,0.125,Neutral
1,same,Victor Frankenstein,0.0,0.125,Neutral
1,same,Victor Frankenstein,0.0,0.125,Neutral
1,same,Victor Frankenstein,0.0,0.125,Neutral
1,same,Victor Frankenstein,0.0,0.125,Neutral
1,same,Victor Frankenstein,0.0,0.125,Neutral
1,same,Victor Frankenstein,0.0,0.125,Neutral
1,same,Victor Frankenstein,0.0,0.125,Neutral
1,same,Victor Frankenstein,0.0,0.125,Neutral
1,same,Victor Frankenstein,0.0,0.125,Neutral
1,same,Victor Frankenstein,0.0,0.125,Neutral
1,same,Victor Frankenstein,0.0,0.125,Neutral
1,same,Victor Frankenstein,0.0,0.125,Neutral
1,same,Victor Frankenstein,0.0,0.125,Neutral
1,same,Victor Frankenstein,0.0,0.125,Neutral
1,same,Victor Frankenstein,0.0,0.125,Neutral
1,same,Victor Frankenstein,0.0,0.125,Neutral
1,same,Victor Frankenstein,0.0,0.125,Neutral
1,same,Victor Frankenstein,0.0,0.125,Neutral
1,same,Victor Frankenstein,0.0,0.125,Neutral
1,same,Victor Frankenstein,0.0,0.125,Neutral
1,same,Victor Frankenstein,0.0,0.125,Neutral
1,same,Victor Frankenstein,0.0,0.125,Neutral
1,same,Victor Frankenstein,0.0,0.125,Neutral
1,same,Victor Frankenstein,0.0,0.125,Neutral
1,same,Victor Frankenstein,0.0,0.125,Neutral
1,same,Victor Frankenstein,0.0,0.125,Neutral
1,same,Victor Frankenstein,0.0,0.125,Neutral
1,same,Victor Frankenstein,0.0,0.125,Neutral
1,same,Victor Frankenstein,0.0,0.125,Neutral
1,same,Victor Frankenstein,0.0,0.125,Neutral
1,same,Victor Frankenstein,0.0,0.125,Neutral
1,same,Victor Frankenstein,0.0,0.125,Neutral
1,same,Victor Frankenstein,0.0,0.125,Neutral
1,same,Victor Frankenstein,0.0,0.125,Neutral
1,same,Victor Frankenstein,0.0,0.125,Neutral
1,same,Victor Frankenstein,0.0,0.125,Neutral
1,same,Victor Frankenstein,0.0,0.125,Neutral
1,same,Victor Frankenstein,0.0,0.125,Neutral
1,same,Victor Frankenstein,0.0,0.125,Neutral
1,honourable,Victor Frankenstein,0.0,0.0,Neutral
1,unknown,Victor Frankenstein,-0.1,0.6,Negative
1,unknown,Victor Frankenstein,-0.1,0.6,Negative
1,unknown,Victor Frankenstein,-0.1,0.6,Negative
1,unknown,Victor Frankenstein,-0.1,0.6,Negative
1,unknown,Victor Frankenstein,-0.1,0.6,Negative
1,truest,Victor Frankenstein,0.0,0.0,Neutral
