Chapter,Adjective,Narrator,Polarity,Subjectivity,Sentiment
1,perplexed,Victor Frankenstein,0.4,0.9,Positive
1,unable,Victor Frankenstein,-0.5,0.5,Negative
1,full,Victor Frankenstein,0.35,0.55,Positive
1,necessary,Victor Frankenstein,0.0,1.0,Neutral
1,latter,Victor Frankenstein,0.0,0.0,Neutral
1,peaceful,Victor Frankenstein,0.25,0.5,Positive
1,peaceful,Victor Frankenstein,0.25,0.5,Positive
1,miserable,Victor Frankenstein,-1.0,1.0,Negative
1,miserable,Victor Frankenstein,-1.0,1.0,Negative
1,miserable,Victor Frankenstein,-1.0,1.0,Negative
1,own,Victor Frankenstein,0.6,1.0,Positive
1,own,Victor Frankenstein,0.6,1.0,Positive
1,own,Victor Frankenstein,0.6,1.0,Positive
1,joint,Victor Frankenstein,0.0,0.0,Neutral
1,content,Victor Frankenstein,0.0,0.0,Neutral
1,content,Victor Frankenstein,0.0,0.0,Neutral
1,malicious,Victor Frankenstein,0.0,0.0,Neutral
1,miserable,Victor Frankenstein,-1.0,1.0,Negative
1,miserable,Victor Frankenstein,-1.0,1.0,Negative
1,miserable,Victor Frankenstein,-1.0,1.0,Negative
1,more,Victor Frankenstein,0.5,0.5,Positive
1,more,Victor Frankenstein,0.5,0.5,Positive
1,own,Victor Frankenstein,0.6,1.0,Positive
1,own,Victor Frankenstein,0.6,1.0,Positive
1,own,Victor Frankenstein,0.6,1.0,Positive
1,human,Victor Frankenstein,0.0,0.1,Neutral
1,human,Victor Frankenstein,0.0,0.1,Neutral
1,human,Victor Frankenstein,0.0,0.1,Neutral
1,human,Victor Frankenstein,0.0,0.1,Neutral
1,insurmountable,Victor Frankenstein,0.0,0.0,Neutral
1,abject,Victor Frankenstein,0.0,0.0,Neutral
1,arch-,Victor Frankenstein,0.0,0.0,Neutral
1,inextinguishable,Victor Frankenstein,0.0,0.0,Neutral
1,fiendish,Victor Frankenstein,-0.6,0.7,Negative
1,horrible,Victor Frankenstein,-1.0,1.0,Negative
1,human,Victor Frankenstein,0.0,0.1,Neutral
1,human,Victor Frankenstein,0.0,0.1,Neutral
1,human,Victor Frankenstein,0.0,0.1,Neutral
1,human,Victor Frankenstein,0.0,0.1,Neutral
1,detrimental,Victor Frankenstein,0.0,0.0,Neutral
1,whole,Victor Frankenstein,0.2,0.4,Positive
1,whole,Victor Frankenstein,0.2,0.4,Positive
1,reasonable,Victor Frankenstein,0.2,0.6,Positive
1,moderate,Victor Frankenstein,0.0,0.7,Neutral
1,hideous,Victor Frankenstein,0.0,0.0,Neutral
1,small,Victor Frankenstein,-0.25,0.4,Negative
1,small,Victor Frankenstein,-0.25,0.4,Negative
1,true,Victor Frankenstein,0.35,0.65,Positive
1,happy,Victor Frankenstein,0.8,1.0,Positive
1,happy,Victor Frankenstein,0.8,1.0,Positive
1,harmless,Victor Frankenstein,0.0,0.0,Neutral
1,harmless,Victor Frankenstein,0.0,0.0,Neutral
1,free,Victor Frankenstein,0.4,0.8,Positive
1,happy,Victor Frankenstein,0.8,1.0,Positive
1,happy,Victor Frankenstein,0.8,1.0,Positive
